GARMIN CONSOLIDATED SLEEP REPORT
===============================

Date         | Deep     | REM      | Light    | Total
2017-03-28   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-29   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-30   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-31   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-01   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-02   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-03   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-04   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-05   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-06   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-07   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-08   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-09   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-10   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-11   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-12   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-13   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-14   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-15   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-16   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-17   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-18   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-19   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-20   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-21   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-22   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-23   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-24   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-25   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-26   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-27   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-28   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-29   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-04-30   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-05-01   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-05-02   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-05-03   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-05-04   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-05-05   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
